year,age_group,state,donations
2012,17-24,Negeri Sembilan,3122
2012,17-24,Pahang,3911
2012,17-24,Perak,8852
2012,17-24,Pulau Pinang,0
2012,17-24,Sabah,4206
2012,17-24,Sarawak,1714
2012,17-24,Selangor,3862
2012,17-24,Terengganu,4607
2012,17-24,W.P. Kuala Lumpur,25835
2012,25-29,Johor,2359
2012,25-29,Kedah,2268
2012,25-29,Kelantan,543
2012,25-29,Malaysia,23723
2012,25-29,Melaka,1213
2012,25-29,Negeri Sembilan,793
2012,25-29,Pahang,834
2012,25-29,Perak,1446
2012,25-29,Pulau Pinang,0
2012,25-29,Sabah,1567
2012,25-29,Sarawak,720
2012,25-29,Selangor,1670
2012,25-29,Terengganu,626
2012,25-29,W.P. Kuala Lumpur,9684
2012,30-34,Johor,1827
2012,30-34,Kedah,1738
2012,30-34,Kelantan,333
2012,30-34,Malaysia,17318
2012,30-34,Melaka,1002
2012,30-34,Negeri Sembilan,600
2012,30-34,Pahang,675
2012,30-34,Perak,1111
2012,30-34,Pulau Pinang,0
2012,30-34,Sabah,975
2012,30-34,Sarawak,576
2012,30-34,Selangor,1367
2012,30-34,Terengganu,335
2012,30-34,W.P. Kuala Lumpur,6779
2012,35-39,Johor,1423
2012,35-39,Kedah,1422
2012,35-39,Kelantan,263
2012,35-39,Malaysia,12632
2012,35-39,Melaka,750
2012,35-39,Negeri Sembilan,444
2012,35-39,Pahang,524
2012,35-39,Perak,872
2012,35-39,Pulau Pinang,0
2012,35-39,Sabah,684
2012,35-39,Sarawak,444
2012,35-39,Selangor,1063
2012,35-39,Terengganu,198
2012,35-39,W.P. Kuala Lumpur,4545
2012,40-44,Johor,1162
2012,40-44,Kedah,1190
2012,40-44,Kelantan,228
2012,40-44,Malaysia,9644
2012,40-44,Melaka,600
2012,40-44,Negeri Sembilan,314
2012,40-44,Pahang,490
2012,40-44,Perak,742
2012,40-44,Pulau Pinang,0
2012,40-44,Sabah,473
2012,40-44,Sarawak,376
2012,40-44,Selangor,813
2012,40-44,Terengganu,151
2012,40-44,W.P. Kuala Lumpur,3105
2012,45-49,Johor,712
2012,45-49,Kedah,791
2012,45-49,Kelantan,174
2012,45-49,Malaysia,6597
2012,45-49,Melaka,451
2012,45-49,Negeri Sembilan,211
2012,45-49,Pahang,379
2012,45-49,Perak,545
2012,45-49,Pulau Pinang,0
2012,45-49,Sabah,342
2012,45-49,Sarawak,236
2012,45-49,Selangor,550
2012,45-49,Terengganu,107
2012,45-49,W.P. Kuala Lumpur,2099
2012,50-54,Johor,458
2012,50-54,Kedah,504
2012,50-54,Kelantan,126
2012,50-54,Malaysia,4044
2012,50-54,Melaka,314
2012,50-54,Negeri Sembilan,109
2012,50-54,Pahang,268
2012,50-54,Perak,343
2012,50-54,Pulau Pinang,0
2012,50-54,Sabah,219
2012,50-54,Sarawak,162
2012,50-54,Selangor,318
2012,50-54,Terengganu,52
2012,50-54,W.P. Kuala Lumpur,1171
2012,55-59,Johor,178
2012,55-59,Kedah,197
2012,55-59,Kelantan,56
2012,55-59,Malaysia,1612
2012,55-59,Melaka,131
2012,55-59,Negeri Sembilan,50
2012,55-59,Pahang,120
2012,55-59,Perak,133
2012,55-59,Pulau Pinang,0
2012,55-59,Sabah,81
2012,55-59,Sarawak,63
2012,55-59,Selangor,115
2012,55-59,Terengganu,12
2012,55-59,W.P. Kuala Lumpur,476
2012,60-64,Johor,29
2012,60-64,Kedah,21
2012,60-64,Kelantan,4
2012,60-64,Malaysia,144
2012,60-64,Melaka,10
2012,60-64,Negeri Sembilan,6
2012,60-64,Pahang,6
2012,60-64,Perak,8
2012,60-64,Pulau Pinang,0
2012,60-64,Sabah,12
2012,60-64,Sarawak,4
2012,60-64,Selangor,13
2012,60-64,Terengganu,0
2012,60-64,W.P. Kuala Lumpur,31
2013,17-24,Johor,4604
2013,17-24,Kedah,11576
